id,name
10466,General
2566,General
11891,Publishing & Books
227486,Intellectual Property
172810,Reference
3017,"Science Fiction, Fantasy, & Magic"
173488,Intellectual Property
16917,Europe
764562,All New Yorker Titles
2721,Financial Planning
491414,Europe
4987,Historical Study
10,"Health, Mind & Body"
4639,Low Carbohydrate
12335,Discipleship
497322,Southern Rock
12621,New Age
2737,General
768636,Security
147686,"Grant, Cary"
4484,Movies
549652,Hardware
287124,( D )
292203,Book Clubs
2684,Management Science
408328,Special Features
454404,( B )
493964,Categories
13756,General
12360,Clergy
225827,Specialties
130,DVD
144211,"Coulouris, George"
767740,Business & Investing Books
2538,Biographies & Primers
265640,Broadway & Vocalists
5066,Antiques & Collectibles
768000,Management
140748,( B )
4309,Middle Atlantic
10477,Sherlock Holmes
12339,Faith
3011,Popular Culture
171141,Cancer
4208,Cooking by Ingredient
767992,Management & Leadership
12364,Ministry
767880,General
549646,Databases
14183,General
12449,Theology
2977,"Fairy Tales, Folk Tales & Myths"
524212,Classics
40,Rock
67620,General
1,Arts & Photography
4696,Alternative Medicine
12470,Prayerbooks
282849,Low-Fat Diet
17025,General
16946,Great Britain
290089,United States
554478,Live Albums
658010,General
173483,Practical Guides
139452,
768068,Retirement Planning
12486,Witchcraft
4232,History
3959,General
4197,Bread
3952,Languages & Tools
11751,Pop Culture
12350,Church History
701208,Imports
10457,Mystery
2312,Radio Shows
9988,Books & Reading
4635,General
11019,Philosophy
13663,Civil
639938,General
16272,Science Fiction
21,Reference
572082,New Testament
764430,Bible
290110,General
158210,"Shayne, Konstantin"
12370,Sermons
22,Religion & Spirituality
12056,Bible & Other Sacred Texts
3014,Comics & Graphic Novels
5018,Naval
11336,History
266680,Series
2542,Company Profiles
14392,General
3069,Holidays & Festivals
12024,General
2,Biographies & Memoirs
579538,( N )
513060,Traditional Vocal Pop
163379,Drama
9822,United States
10461,British Detectives
4511,History & Criticism
290078,Field Guides
49,Horror
3154,Fiction
10753,Government
7280,( J )
4988,Historiography
146404,"Fitzgerald, Barry"
10207,Criticism & Theory
172282,
918102,Scooby Doo Mysteries
640504,Regions
142797,( C )
14258,Hospice Care
14407,General
11334,General
468206,Humanities
301733,Biografías y memorias
291236,By Theme
3956,C & C++
4021,Web Programming
63929,Modern Postbebop
11063,Phenomenology
2624,Industries & Professions
44,Books on Tape
67203,Blues Rock
2813,Fiction
768086,Reference
14195,Assessment & Diagnosis
170061,Picture Books
12710,Magic
639936,Scotland
502938,Children
284926,By Country
13996,Medicine
2303,Mystery & Thrillers
10716,General
12659,Tarot
2304,Mystery
17031,Food & Lodging
12059,Bibles
173518,Law
20,Parenting & Families
144551,( D )
14231,Pediatric & Neonatal
767918,"Hospitality, Travel & Tourism"
193685,By Original Language
657764,General
2717,Personal Finance
2218,General
3302,Series
14046,General
11272,Human Geography
13759,"Industrial, Manufacturing & Operational Systems"
4729,Relationships
3723,Microprocessors & System Design
640094,Dining
585604,( D )
27,Travel
491372,Appreciation & History
767920,Human Resources & Personnel Management
768092,General
297488,Business
740136,Down on Their Luck
2683,Management
768626,Project Management
465308,General
281800,"Stine, R. L."
4400,Marvel
63926,General
11726,Encyclopedias
11086,History & Theory
265523,
4262,Regional & International
404276,Genres
465600,New & Used Textbooks
12290,Christianity
4413,General
11757,Television
16386,Birdwatching
2812,Dogs
764512,Home & Office
3700,Manager's Guides to Computing
11043,General
226498,Aerospace
526028,Categories
17445,Classics
5335,General
520230,Vocal Jazz
404274,Genres
12689,Occult
290060,Outdoors & Nature
764418,Reference
725800,General
13778,Mechanical
408254,Album-Oriented Rock (AOR)
11360,Retirement Planning
298714,General
227643,Assessment & Diagnosis
11057,Modern
11233,Anthropology
2419,Professionals & Academics
468208,Art & Music
158751,"Soderling, Walter"
498862,Specialty Stores
9882,Classics
14305,Special Topics
886134,Movements
733540,Photography Books
69407,"Doyle, Arthur Conan"
657762,General
10127,Classics
69810,Spanish
467970,Sports
4870,General
10287,United States
69722,Marriage
69802,Multilingual
283155,Books
2786,Ages 9-12
16190,Fantasy
157485,( S )
4853,United States
10311,World Literature
573530,Portuguese
3731,General
768660,Manager's Guides to Computing
12155,Commentaries
265542,Medicine
572080,Life Application
4233,General
11399,Literature Guides
129,Drama
640524,General
53,Nonfiction
69720,Relationships
740062,Mothers & Sons
146925,( G )
768162,Computer & Internet Books
494044,Hockey
517808,Amazon.com Outlet
13884,Mathematics
14389,Pediatrics
9972,20th Century
764560,New Yorker Films
226500,Advanced Mechanics
3328,Fantasy & Adventure
284688,General
1061350,jp-unknown2
3074321,Categories
4993,General
3113,Fiction
3601,Active Server Pages
11256,Folklore & Mythology
2612,General
11288,Sociology
5126,Crafts & Hobbies
10975,Reference
465674,General
2785,Ages 4-8
163328,General
290410,Cartoon Network
17468,Fantasy
3153,Friendship
12159,New Testament
287120,"Authors, A-Z"
67206,General
9,History
513038,Obsessions
4318,Diabetic & Sugar-Free
4307,General
170559,( S )
579510,Titles
226701,Engineering Economics
3045,Family Life
572062,Coming of Age
5,Computers & Internet
767772,Secrets of Success
170082,19th Century
2160,United States
169045,Animation
225828,Internal Medicine
70116,"Bogosian, Eric"
11390,Parent & Adult Child
266023,Indie Music
491388,General
11117,U.S.
768062,Financial Planning
10963,General
11235,Cultural
